종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"001515","SK증권우","KOSPI",,"3730","25","0.67","3710","3730","3675","15825","58513485","14593677220","3912514"
"285130","SK케미칼","KOSPI",,"142500","-1500","-1.04","143000","144500","141500","40637","5799161000","2510961150000","17620780"
"28513K","SK케미칼우","KOSPI",,"80700","200","0.25","81100","81100","78800","4168","335114500","170715120300","2115429"
"017670","SK텔레콤","KOSPI",,"57300","500","0.88","56300","57400","55800","758372","43078694500","12539139151200","218833144"
"000660","SK하이닉스","KOSPI",,"119000","-6000","-4.80","121500","122500","118000","6465040","774548223500","86632281435000","728002365"
"048550","SM C&C","KOSDAQ","중견기업부","3535","-70","-1.94","3540","3625","3490","710329","2519653700","337727254200","95538120"
"063440","SM Life Design","KOSDAQ","중견기업부","2665","-10","-0.37","2600","2685","2600","294457","779836215","121068695410","45429154"
"950180","SNK","KOSDAQ","외국기업(소속부없음)","36800","100","0.27","36750","36800","36700","212434","7808235500","775074240000","21061800"
"064960","SNT모티브","KOSPI",,"41600","-1450","-3.37","42850","42850","41550","65774","2754424050","608322457600","14623136"
"100840","SNT에너지","KOSPI",,"18200","-200","-1.09","18200","18300","17950","10474","189733600","136622140200","7506711"
"003570","SNT중공업","KOSPI",,"8830","-120","-1.34","8830","8900","8810","10690","94507980","293621314510","33252697"
"036530","SNT홀딩스","KOSPI",,"16700","-300","-1.76","17050","17050","16500","6477","108178750","272274896200","16303886"
"005610","SPC삼립","KOSPI",,"72300","1600","2.26","71300","73500","69600","26656","1908452200","623877350700","8629009"
"011810","STX","KOSPI",,"4010","-55","-1.35","4180","4180","3975","63171","253171620","114772030540","28621454"
"077970","STX엔진","KOSPI",,"10600","-250","-2.30","10650","10700","10250","32691","342552800","243894382400","23008904"
"071970","STX중공업","KOSPI",,"4680","-85","-1.78","4715","4795","4625","82904","389553385","132752767680","28365976"
"002820","SUN&L","KOSPI",,"4700","-240","-4.86","4890","4890","4700","16742","80207560","59257548300","12607989"
"289080","SV인베스트먼트","KOSDAQ","중견기업부","3655","30","0.83","4075","4125","3655","14431185","56898560130","194570270000","53234000"
"084870","TBH글로벌","KOSPI",,"2000","20","1.01","1990","2060","1985","49636","99984075","41713638000","20856819"
"002710","TCC스틸","KOSPI",,"11200","-700","-5.88","11550","11800","11150","664737","7579005100","263200000000","23500000"
"089230","THE E&M","KOSDAQ","중견기업부","558","7","1.27","551","566","544","572337","318069321","96785206578","173450191"
"161570","THE MIDONG","KOSDAQ","중견기업부","1475","45","3.15","1425","1545","1415","152328","223650155","22984674250","15582830"
"192410","THQ","KOSDAQ","중견기업부","2815","20","0.72","2800","2825","2785","50429","140861090","81437665685","28929899"
"032540","TJ미디어","KOSDAQ","중견기업부","4810","-30","-0.62","4870","4870","4745","32744","156622890","67011039290","13931609"
"048770","TPC","KOSDAQ","중견기업부","4570","160","3.63","4340","4625","4270","972573","4376266290","70243477480","15370564"
"246690","TS인베스트먼트","KOSDAQ","중견기업부","2620","0","0.00","2660","2690","2595","328172","866651685","102509802980","39125879"
"317240","TS트릴리온","KOSDAQ","벤처기업부","1855","425","29.72","1405","1855","1355","95229304","159822534185","171919609925","92679035"
"002900","TYM","KOSPI",,"1605","-45","-2.73","1645","1650","1590","498541","803629205","243204963060","151529572"
"038340","UCI","KOSDAQ","투자주의환기종목(소속부없음)","1335","0","0.00","0","0","0","0","0","16641828315","12465789"
"073570","WI","KOSDAQ","중견기업부","1220","-15","-1.21","1205","1245","1190","1043881","1272022175","98703945060","80904873"
"024070","WISCOM","KOSPI",,"3165","5","0.16","3205","3205","3115","62165","196370260","48508176270","15326438"
"057030","YBM넷","KOSDAQ","중견기업부","6400","100","1.59","6310","6470","6250","131615","842558000","104401260800","16312697"
"037270","YG PLUS","KOSPI",,"6800","40","0.59","6720","6880","6640","399126","2708863290","431319988000","63429410"
"040300","YTN","KOSDAQ","중견기업부","3365","110","3.38","3245","3480","3245","43957","146664830","141330000000","42000000"
"051390","YW","KOSDAQ","중견기업부","4235","120","2.92","4155","4235","4090","33462","138747560","48089983480","11355368"
"052220","iMBC","KOSDAQ","중견기업부","4880","-10","-0.20","4850","4895","4790","103006","498388355","112240000000","23000000"
"079940","가비아","KOSDAQ","우량기업부","12550","-50","-0.40","12500","12650","12350","24951","311928600","169872834200","13535684"
"078890","가온미디어","KOSDAQ","우량기업부","15650","-650","-3.99","16050","16200","15350","627926","9870452250","248082954900","15851946"
"000500","가온전선","KOSPI",,"22850","0","0.00","22600","23000","22600","5250","119472250","95063928950","4160347"
"036620","감성코퍼레이션","KOSDAQ","중견기업부","2250","-25","-1.10","2320","2320","2230","286306","645694530","175850264250","78155673"
"000860","강남제비스코","KOSPI",,"25400","-500","-1.93","25900","25900","25000","16165","409398550","165100000000","6500000"
"217730","강스템바이오텍","KOSDAQ","기술성장기업부","3210","-40","-1.23","3235","3270","3185","130181","418448385","121780739250","37937925"
"035250","강원랜드","KOSPI",,"25450","100","0.39","25150","25500","24950","526702","13307406150","5444785725000","213940500"
"114190","강원에너지","KOSDAQ","관리종목(소속부없음)","2500","0","0.00","0","0","0","0","0","65307595000","26123038"
